ADDRESS,POSTCODE,CURRENT_ENERGY_RATING,LODGEMENT_DATE,PROPERTY_TYPE,TOTAL_FLOOR_AREA,LOCAL_AUTHORITY_LABEL,full_address,LAT,LON
"Flat 2, 64 Lytham Road",FY1 6DY,E,2022-10-10,Flat,34.0,Blackpool,"Flat 2, 64 Lytham Road, FY1 6DY, Blackpool, UK",53.8054093,-3.0527307
"1, Bankfield Grove",FY1 5QZ,E,2016-06-10,House,94.0,Blackpool,"1, Bankfield Grove, FY1 5QZ, Blackpool, UK",53.8094198,-3.0333686
"Flat 1, 3 Brighton Avenue",FY4 1HL,F,2019-06-02,Flat,58.0,Blackpool,"Flat 1, 3 Brighton Avenue, FY4 1HL, Blackpool, UK",53.7941599,-3.0516673
"4, Ryburn Avenue",FY4 4DY,E,2018-02-02,Bungalow,118.0,Blackpool,"4, Ryburn Avenue, FY4 4DY, Blackpool, UK",53.8014349,-3.0303234
"Flat 1, 50 Lytham Road",FY1 6DY,E,2018-03-07,Flat,50.0,Blackpool,"Flat 1, 50 Lytham Road, FY1 6DY, Blackpool, UK",53.8056378,-3.0530923
"Ground Floor Flat, 185 Central Drive",FY1 5ED,F,2015-09-05,Flat,41.0,Blackpool,"Ground Floor Flat, 185 Central Drive, FY1 5ED, Blackpool, UK",53.809652,-3.0464964
"10, Ilford Road",FY4 4EB,E,2020-07-08,House,121.0,Blackpool,"10, Ilford Road, FY4 4EB, Blackpool, UK",53.8005587,-3.0305684
"Flat 5, 37 Osborne Road",FY4 1HQ,E,2015-09-03,Flat,23.0,Blackpool,"Flat 5, 37 Osborne Road, FY4 1HQ, Blackpool, UK",53.7942638,-3.0529038
113 SCORTON AVENUE,FY3 7HD,E,2021-07-07,Flat,48.0,Blackpool,"113 SCORTON AVENUE, FY3 7HD, Blackpool, UK",53.826754,-3.0242297
"Flat 4, 19-21 Warbreck Drive",FY2 9SZ,E,2018-09-02,Flat,51.0,Blackpool,"Flat 4, 19-21 Warbreck Drive, FY2 9SZ, Blackpool, UK",53.8357658,-3.0504698
"15, Osborne Road",FY4 1HJ,E,2016-11-02,House,268.0,Blackpool,"15, Osborne Road, FY4 1HJ, Blackpool, UK",53.7939939,-3.0545131
"90a, Topping Street",FY1 3AD,E,2018-08-06,Flat,81.0,Blackpool,"90a, Topping Street, FY1 3AD, Blackpool, UK",53.8184614,-3.0494687
"BUNGALOW AT, 16 TUDOR PLACE",FY4 1PQ,G,2021-02-08,Bungalow,32.0,Blackpool,"BUNGALOW AT, 16 TUDOR PLACE, FY4 1PQ, Blackpool, UK",53.7846553,-3.0545436
25 Washington Court,FY2 0XJ,E,2021-11-08,Flat,47.0,Blackpool,"25 Washington Court, FY2 0XJ, Blackpool, UK",53.8420966,-3.0285841
"Flat 2, 437 Lytham Road",FY4 1JD,E,2020-12-05,Flat,25.0,Blackpool,"Flat 2, 437 Lytham Road, FY4 1JD, Blackpool, UK",53.7903422,-3.0488218
"Flat 3, 8 Cavendish Road",FY2 9JR,E,2018-05-06,Flat,45.0,Blackpool,"Flat 3, 8 Cavendish Road, FY2 9JR, Blackpool, UK",53.8472255,-3.0523562
"Flat 56, 364 Lytham Road",FY4 1DW,E,2018-11-05,Flat,30.0,Blackpool,"Flat 56, 364 Lytham Road, FY4 1DW, Blackpool, UK",53.7972759,-3.0497224
46 CHELTENHAM ROAD,FY1 2PR,E,2021-06-08,House,137.0,Blackpool,"46 CHELTENHAM ROAD, FY1 2PR, Blackpool, UK",53.82759249999999,-3.0494894
"36, The Crescent",FY4 1EQ,E,2016-02-03,House,139.0,Blackpool,"36, The Crescent, FY4 1EQ, Blackpool, UK",53.7901432,-3.0527642
"Flat 5, 83 Warbreck Drive",FY2 9RZ,F,2021-09-09,Flat,31.0,Blackpool,"Flat 5, 83 Warbreck Drive, FY2 9RZ, Blackpool, UK",53.8372786,-3.0502626
"180, Reads Avenue",FY1 4JD,E,2016-09-08,House,143.0,Blackpool,"180, Reads Avenue, FY1 4JD, Blackpool, UK",53.8154496,-3.0381103
"62, Haig Road",FY1 6BZ,E,2015-11-06,House,95.0,Blackpool,"62, Haig Road, FY1 6BZ, Blackpool, UK",53.8007992,-3.0515935
"1a, Waverley Avenue",FY1 2RT,F,2015-09-03,Flat,83.0,Blackpool,"1a, Waverley Avenue, FY1 2RT, Blackpool, UK",53.832624,-3.0415216
"236, Newton Drive",FY3 8NB,E,2020-12-08,Bungalow,130.0,Blackpool,"236, Newton Drive, FY3 8NB, Blackpool, UK",53.8230552,-3.0189058
"Flat 2, 35, General Street",FY1 1SG,E,2019-12-02,Flat,23.0,Blackpool,"Flat 2, 35, General Street, FY1 1SG, Blackpool, UK",53.8222959,-3.0544235
